Age,Male_Death_Prob,Female_Death_Prob,overall_mortality_by_prevalence,overall_mortality_avg,mean_background_cost_2019,lower_CI_background_cost_2019,upper_CI_background_cost_2019,background_cost_2025,background_cost_2025_low,background_cost_2025_high
12,0.000171,0.00014,0.000160682,0.0001555,2162.62203,2026.20972,2330.74414,2724.903758,2553.024247,2936.737616
13,0.000227,0.000162,0.000205366,0.0001945,2198.17922,2073.22827,2361.47949,2769.705817,2612.26762,2975.464157
14,0.00032,0.000188,0.000276066,0.000254,2238.21005,2123.34717,2387.75513,2820.144663,2675.417434,3008.571464
15,0.000451,0.000224,0.000375447,0.0003375,2282.92244,2173.39502,2418.01929,2876.482274,2738.477725,3046.704305
16,0.000622,0.000276,0.000506839,0.000449,2330.33359,2221.72388,2453.04272,2936.220323,2799.372089,3090.833827
17,0.000826,0.000337,0.000663244,0.0005815,2381.27495,2275.14258,2491.61304,3000.406437,2866.679651,3139.43243
18,0.001026,0.000395,0.000815982,0.0007105,2435.78341,2331.8103,2534.80664,3069.087097,2938.080978,3193.856366
19,0.001182,0.00045,0.000938365,0.000816,2493.29018,2389.87891,2591.96509,3141.545627,3011.247427,3265.876013
20,0.001301,0.000496,0.001033069,0.0008985,2553.77097,2448.41821,2654.33521,3217.751422,3085.006945,3344.462365
21,0.001404,0.000532,0.001113769,0.000968,2615.45653,2515.76025,2723.39526,3295.475228,3169.857915,3431.478028
22,0.001498,0.000567,0.001188131,0.0010325,2679.13261,2587.54224,2794.68896,3375.707089,3260.303222,3521.30809
23,0.001586,0.00061,0.001261154,0.001098,2745.57891,2651.38184,2869.04126,3459.429427,3340.741118,3614.991988
24,0.001679,0.00065,0.001336514,0.0011645,2815.76142,2718.87305,2942.35034,3547.859389,3425.780043,3707.361428
25,0.001776,0.000699,0.001417538,0.0012375,2889.77557,2789.55103,3017.17114,3641.117218,3514.834298,3801.635636
26,0.001881,0.000743,0.001502235,0.001312,2968.27561,2865.24683,3097.19214,3740.027269,3610.211006,3902.462096
27,0.001985,0.000796,0.00158926,0.0013905,3050.30754,2943.89673,3180.25659,3843.3875,3709.30988,4007.123303
28,0.002095,0.000855,0.001682286,0.001475,3136.30636,3026.24951,3278.07056,3951.746014,3813.074383,4130.368906
29,0.002219,0.000924,0.00178798,0.0015715,3225.61294,3112.77661,3379.40405,4064.272304,3922.098529,4258.049103
30,0.002332,0.000988,0.001884671,0.00166,3322.73131,3208.68457,3487.26318,4186.641451,4042.942558,4393.951607
31,0.002445,0.001053,0.001981695,0.001749,3429.50645,3312.54858,3604.25757,4321.178127,4173.811211,4541.364538
32,0.002562,0.001123,0.002083052,0.0018425,3537.9101,3417.47046,3724.73462,4457.766726,4306.01278,4693.165621
33,0.002653,0.001198,0.002168726,0.0019255,3652.41092,3527.64722,3846.09888,4602.037759,4444.835497,4846.084589
34,0.002716,0.001263,0.002232392,0.0019895,3778.06844,3641.06299,3969.7854,4760.366234,4587.739367,5001.929604
35,0.002791,0.001324,0.002302732,0.0020575,3905.69838,3775.46118,4096.43457,4921.179959,4757.081087,5161.507558
36,0.002894,0.001403,0.002397744,0.0021485,4043.25209,3902.44165,4235.00977,5094.497633,4917.076479,5336.11231
37,0.002994,0.001493,0.002494416,0.0022435,4188.90303,4044.44165,4384.19922,5278.017818,5095.996479,5524.091017
38,0.003091,0.001596,0.002593413,0.0023435,4347.23013,4191.06836,4550.24951,5477.509964,5280.746134,5733.314383
39,0.003217,0.0017,0.002712091,0.0024585,4517.10406,4354.04639,4726.82617,5691.551116,5486.098451,5955.800974
40,0.003353,0.001803,0.002837107,0.002578,4696.03889,4539.24414,4911.73389,5917.009001,5719.447616,6188.784701
41,0.003499,0.001905,0.002968462,0.002702,4888.44404,4728.68066,5109.00098,6159.43949,5958.137632,6437.341235
42,0.003642,0.002009,0.003098482,0.0028255,5085.96643,4919.96582,5299.14404,6408.317702,6199.156933,6676.92149
43,0.003811,0.002116,0.003246846,0.0029635,5245.82558,5087.83496,5455.9209,6609.740231,6410.67205,6874.460334
44,0.003996,0.002223,0.003405885,0.0031095,5388.50289,5222.58398,5604.93652,6789.513641,6580.455815,7062.220015
